=============LOG START=============
clock_rate = 6
[Internal event], [System time]: 2023-03-06 20:17:35.921024, [Logical Clock Time]: 268
[Receive]: 267, [System time]: 2023-03-06 20:17:36.087920, [Message Queue Length]: 0, [Logical Clock Time]: 269
[Internal event], [System time]: 2023-03-06 20:17:36.254812, [Logical Clock Time]: 270
[Internal event], [System time]: 2023-03-06 20:17:36.421743, [Logical Clock Time]: 271
[Internal event], [System time]: 2023-03-06 20:17:36.588645, [Logical Clock Time]: 272
[Internal event], [System time]: 2023-03-06 20:17:36.755508, [Logical Clock Time]: 273
[Send]: 274, [System time]: 2023-03-06 20:17:36.922489, [Logical Clock Time]: 274
[Internal event], [System time]: 2023-03-06 20:17:37.089310, [Logical Clock Time]: 275
[Send]: 276, [System time]: 2023-03-06 20:17:37.256358, [Logical Clock Time]: 276
[Internal event], [System time]: 2023-03-06 20:17:37.423151, [Logical Clock Time]: 277
[Internal event], [System time]: 2023-03-06 20:17:37.590061, [Logical Clock Time]: 278
[Receive]: 279, [System time]: 2023-03-06 20:17:37.756974, [Message Queue Length]: 0, [Logical Clock Time]: 280
[Internal event], [System time]: 2023-03-06 20:17:37.923892, [Logical Clock Time]: 281
[Internal event], [System time]: 2023-03-06 20:17:38.090818, [Logical Clock Time]: 282
[Internal event], [System time]: 2023-03-06 20:17:38.257729, [Logical Clock Time]: 283
[Internal event], [System time]: 2023-03-06 20:17:38.424637, [Logical Clock Time]: 284
[Receive]: 283, [System time]: 2023-03-06 20:17:38.591587, [Message Queue Length]: 0, [Logical Clock Time]: 285
[Internal event], [System time]: 2023-03-06 20:17:38.758478, [Logical Clock Time]: 286
[Internal event], [System time]: 2023-03-06 20:17:38.925397, [Logical Clock Time]: 287
[Send]: 288, [System time]: 2023-03-06 20:17:39.092401, [Logical Clock Time]: 288
[Send]: 289, [System time]: 2023-03-06 20:17:39.259566, [Logical Clock Time]: 289
[Send]: 290, [System time]: 2023-03-06 20:17:39.426429, [Logical Clock Time]: 290
[Internal event], [System time]: 2023-03-06 20:17:39.593650, [Logical Clock Time]: 291
[Send]: 292, [System time]: 2023-03-06 20:17:39.760639, [Logical Clock Time]: 292
[Internal event], [System time]: 2023-03-06 20:17:39.927453, [Logical Clock Time]: 293
[Receive]: 293, [System time]: 2023-03-06 20:17:40.094341, [Message Queue Length]: 0, [Logical Clock Time]: 294
[Internal event], [System time]: 2023-03-06 20:17:40.261270, [Logical Clock Time]: 295
[Internal event], [System time]: 2023-03-06 20:17:40.428191, [Logical Clock Time]: 296
[Internal event], [System time]: 2023-03-06 20:17:40.595142, [Logical Clock Time]: 297
[Internal event], [System time]: 2023-03-06 20:17:40.762043, [Logical Clock Time]: 298
[Internal event], [System time]: 2023-03-06 20:17:40.928982, [Logical Clock Time]: 299
[Internal event], [System time]: 2023-03-06 20:17:41.095902, [Logical Clock Time]: 300
[Internal event], [System time]: 2023-03-06 20:17:41.262802, [Logical Clock Time]: 301
[Send]: 302, [System time]: 2023-03-06 20:17:41.429808, [Logical Clock Time]: 302
[Internal event], [System time]: 2023-03-06 20:17:41.596615, [Logical Clock Time]: 303
[Send]: 304, [System time]: 2023-03-06 20:17:41.763611, [Logical Clock Time]: 304
[Send]: 305, [System time]: 2023-03-06 20:17:41.930548, [Logical Clock Time]: 305
[Internal event], [System time]: 2023-03-06 20:17:42.097373, [Logical Clock Time]: 306
[Send]: 307, [System time]: 2023-03-06 20:17:42.264380, [Logical Clock Time]: 307
[Send]: 308, [System time]: 2023-03-06 20:17:42.431365, [Logical Clock Time]: 308
[Send]: 309, [System time]: 2023-03-06 20:17:42.598295, [Logical Clock Time]: 309
[Internal event], [System time]: 2023-03-06 20:17:42.765089, [Logical Clock Time]: 310
[Internal event], [System time]: 2023-03-06 20:17:42.931989, [Logical Clock Time]: 311
[Internal event], [System time]: 2023-03-06 20:17:43.098907, [Logical Clock Time]: 312
[Internal event], [System time]: 2023-03-06 20:17:43.265808, [Logical Clock Time]: 313
[Internal event], [System time]: 2023-03-06 20:17:43.432753, [Logical Clock Time]: 314
[Receive]: 314, [System time]: 2023-03-06 20:17:43.599650, [Message Queue Length]: 0, [Logical Clock Time]: 315
[Receive]: 315, [System time]: 2023-03-06 20:17:43.766519, [Message Queue Length]: 0, [Logical Clock Time]: 316
[Internal event], [System time]: 2023-03-06 20:17:43.933430, [Logical Clock Time]: 317
[Internal event], [System time]: 2023-03-06 20:17:44.100316, [Logical Clock Time]: 318
[Receive]: 317, [System time]: 2023-03-06 20:17:44.267211, [Message Queue Length]: 0, [Logical Clock Time]: 319
[Send]: 320, [System time]: 2023-03-06 20:17:44.434291, [Logical Clock Time]: 320
[Internal event], [System time]: 2023-03-06 20:17:44.601044, [Logical Clock Time]: 321
[Send]: 322, [System time]: 2023-03-06 20:17:44.768116, [Logical Clock Time]: 322
